Rank,Title,RatingTomatometer,Genres
79,the illusionist,91,animation
80,paranorman,88,animation
81,the peanuts movie,87,animation
82,kung fu panda,87,animation
83,wreck-it ralph,87,animation
84,millennium actress,92,animation
85,when marnie was there,90,animation
86,the secret of kells,91,animation
87,howl's moving castle,87,animation
88,tarzan,88,animation
89,kung fu panda 3,86,animation
90,the boy and the beast,90,animation
91,captain underpants: the first epic movie,87,animation
92,sausage party,83,animation
93,tokyo godfathers,90,animation
94,mary and the witch's flower,88,animation
95,my dog tulip,90,animation
96,the pirates! band of misfits,86,animation
97,the princess and the frog,85,animation
98,loving vincent,85,animation
99,akira,87,animation
100,tim burton's corpse bride,84,animation
1,the cabinet of dr. caligari,100,art_house|international
2,metropolis,99,art_house|international
3,la grande illusion,97,art_house|international
4,"nosferatu, a symphony of horror",97,art_house|international
5,the battle of algiers,98,art_house|international
6,m,100,art_house|international
7,seven samurai,100,art_house|international
8,the 400 blows,100,art_house|international
9,army of shadows,97,art_house|international
10,rashômon,98,art_house|international
11,the wages of fear,100,art_house|international
12,open city,100,art_house|international
13,tokyo story,100,art_house|international
14,the leopard,100,art_house|international
15,battleship potemkin,100,art_house|international
16,the conformist,98,art_house|international
17,au hasard balthazar,100,art_house|international
18,things to come,100,art_house|international
19,la dolce vita,97,art_house|international
20,let the right one in,98,art_house|international
21,playtime,100,art_house|international
22,the discreet charm of the bourgeoisie,98,art_house|international
23,the rules of the game,98,art_house|international
24,faces places,99,art_house|international
25,the passion of joan of arc,98,art_house|international
26,only yesterday,100,art_house|international
27,tampopo,100,art_house|international
28,the salesman,96,art_house|international
29,throne of blood,98,art_house|international
30,a separation,99,art_house|international
31,"aguirre, the wrath of god",98,art_house|international
32,eyes without a face,98,art_house|international
33,gloria,99,art_house|international
34,8 1/2,98,art_house|international
35,pather panchali,98,art_house|international
36,the umbrellas of cherbourg,98,art_house|international
37,a fantastic woman,94,art_house|international
38,three colors: red,100,art_house|international
39,my life as a zucchini,98,art_house|international
40,le cercle rouge,95,art_house|international
41,the tale of the princess kaguya,100,art_house|international
42,amy,95,art_house|international
43,bpm,98,art_house|international
44,sing street,95,art_house|international
45,ran,96,art_house|international
46,a fistful of dollars,98,art_house|international
47,gett: the trial of viviane amsalem,100,art_house|international
48,solaris,96,art_house|international
49,wings of desire,98,art_house|international
50,the young girls of rochefort,98,art_house|international
51,gojira,93,art_house|international
52,"crouching tiger, hidden dragon",97,art_house|international
53,timbuktu,98,art_house|international
54,jiro dreams of sushi,99,art_house|international
55,diva,98,art_house|international
56,aruitemo aruitemo,100,art_house|international
57,the taste of others,100,art_house|international
58,all about my mother,98,art_house|international
59,toni erdmann,93,art_house|international
60,waste land,100,art_house|international
61,the band's visit,98,art_house|international
62,poetry,100,art_house|international
63,the vanishing,98,art_house|international
64,loveless,94,art_house|international
65,elevator to the gallows,93,art_house|international
66,god's own country,97,art_house|international
67,afghan star,100,art_house|international
68,a prophet,97,art_house|international
69,waltz with bashir,96,art_house|international
70,three colors: blue,98,art_house|international
71,embrace of the serpent,96,art_house|international
72,after the storm,96,art_house|international
73,about elly,99,art_house|international
74,fireworks wednesday,100,art_house|international
75,last train home,100,art_house|international
76,the seventh seal,93,art_house|international
77,project nim,97,art_house|international
78,monsieur lazhar,97,art_house|international
79,mafioso,96,art_house|international
80,maria full of grace,97,art_house|international
81,hero,95,art_house|international
82,an education,95,art_house|international
83,nostalgia for the light,100,art_house|international
84,amour,93,art_house|international
85,l'avventura,95,art_house|international
86,the look of silence,96,art_house|international
87,rivers and tides: andy goldsworthy working with time,99,art_house|international
88,moolaadé,99,art_house|international
89,the class,95,art_house|international
90,the man without a past,98,art_house|international
91,the twilight samurai,99,art_house|international
92,the kid with a bike,96,art_house|international
93,this is not a film,97,art_house|international
94,rififi,94,art_house|international
95,the secret world of arrietty,95,art_house|international
96,elle,91,art_house|international
97,district 9,90,art_house|international
98,ernest & célestine,97,art_house|international
99,"sex, lies, and videotape",96,art_house|international
100,the red turtle,93,art_house|international
1,the wizard of oz,98,classics
2,citizen kane,100,classics
3,the third man,99,classics
4,the cabinet of dr. caligari,100,classics
5,all about eve,100,classics
6,metropolis,99,classics
7,it happened one night,98,classics
8,modern times,100,classics
9,casablanca,97,classics
10,la grande illusion,97,classics
11,singin' in the rain,100,classics
12,psycho,97,classics
13,laura,100,classics
14,a hard day's night,98,classics
15,king kong,98,classics
16,"nosferatu, a symphony of horror",97,classics
17,snow white and the seven dwarfs,98,classics
18,the adventures of robin hood,100,classics
19,repulsion,100,classics
20,north by northwest,99,classics
21,sunset boulevard,98,classics
22,rear window,100,classics
23,the bride of frankenstein,100,classics
24,the philadelphia story,100,classics
25,touch of evil,96,classics
26,seven samurai,100,classics
27,all quiet on the western front,100,classics
28,12 angry men,100,classics
29,the treasure of the sierra madre,100,classics
30,a streetcar named desire,98,classics
31,vertigo,96,classics
32,the 400 blows,100,classics
33,rebecca,100,classics
34,lawrence of arabia,98,classics
35,rosemary's baby,99,classics
36,dr. strangelove or how i learned to stop worrying and love the bomb,99,classics
37,frankenstein,100,classics
38,rashômon,98,classics
39,on the waterfront,98,classics
40,the grapes of wrath,100,classics
41,the big sleep,97,classics
42,roman holiday,98,classics
43,the lady vanishes,98,classics
44,the last picture show,100,classics
45,cool hand luke,100,classics
46,the leopard,100,classics
47,chinatown,98,classics
48,battleship potemkin,100,classics
49,the searchers,100,classics
50,anatomy of a murder,100,classics
51,invasion of the body snatchers,98,classics
52,gone with the wind,92,classics
53,an american in paris,95,classics
54,the gold rush,100,classics
55,the 39 steps,96,classics
56,the red shoes,96,classics
57,rio bravo,100,classics
58,sweet smell of success,98,classics
59,to be or not to be,98,classics
60,mary poppins,100,classics
61,the african queen,98,classics
62,city lights,98,classics
63,miracle on 34th street,96,classics
64,2001: a space odyssey,93,classics
65,his girl friday,98,classics
66,it's a wonderful life,93,classics
67,night of the living dead,97,classics
68,the french connection,98,classics
69,the passion of joan of arc,98,classics
70,throne of blood,98,classics
71,badlands,98,classics
72,the manchurian candidate,98,classics
73,gentlemen prefer blondes,98,classics
74,freaks,94,classics
75,the birth of a nation,98,classics
76,spartacus,96,classics
77,forbidden planet,98,classics
78,the best years of our lives,96,classics
79,101 dalmatians,98,classics
80,goldfinger,97,classics
81,paths of glory,95,classics
82,bringing up baby,95,classics
83,some like it hot,96,classics
84,duck soup,94,classics
85,fantasia,96,classics
86,sunrise: a song of two humans,98,classics
87,the day the earth stood still,94,classics
88,ran,96,classics
89,rebel without a cause,96,classics
90,peeping tom,96,classics
91,a fistful of dollars,98,classics
92,the lord of the rings: the two towers,95,classics
93,the apartment,94,classics
94,the birds,96,classics
95,the young girls of rochefort,98,classics
96,one flew over the cuckoo's nest,94,classics
97,the bridge on the river kwai,94,classics
98,dr. no,96,classics
99,mean streets,96,classics
100,don't look now,96,classics
1,lady bird,99,comedy
2,blackkklansman,95,comedy
3,coco,97,comedy
4,it happened one night,98,comedy
5,modern times,100,comedy
6,paddington 2,100,comedy
7,the big sick,98,comedy
8,eighth grade,99,comedy
9,singin' in the rain,100,comedy
10,a hard day's night,98,comedy
11,la la land,91,comedy
12,the philadelphia story,100,comedy
13,toy story 2,100,comedy
14,zootopia,97,comedy
15,up,98,comedy
16,"three billboards outside ebbing, missouri",91,comedy
17,toy story 3,98,comedy
18,finding nemo,99,comedy
19,dr. strangelove or how i learned to stop worrying and love the bomb,99,comedy
20,the death of stalin,96,comedy
21,roman holiday,98,comedy
22,toy story,100,comedy
23,the lego movie,96,comedy
24,ant-man and the wasp,88,comedy
25,crazy rich asians,91,comedy
26,monty python and the holy grail,97,comedy
27,paterson,96,comedy
28,sorry to bother you,93,comedy
29,the gold rush,100,comedy
30,shaun the sheep movie,99,comedy
31,la dolce vita,97,comedy
