title,user_score,usa_gross
the great outdoors,67.0,$ 41455230
grievous bodily harm,51.0,
grotesque,44.0,
kidô senshi gundam: gyakushû no shâ,74.0,
guo bu xin lang,65.0,
hairspray,69.0,$ 6671108
halloween 4: the return of michael myers,59.0,$ 17768757
a handful of dust,67.0,$ 1560700
hanna's war,63.0,$ 139796
hanussen,72.0,$ 82635
hard rock nightmare,53.0,
haunted summer,58.0,$ 9911
heartstopper,49.0,
heart of midnight,54.0,$ 113275
heartbreak hotel,57.0,$ 5509417
hellbound: hellraiser ii,65.0,$ 12090735
herbstmilch,69.0,
hero and the terror,53.0,$ 5301200
hidden city,62.0,
hide and go shriek,53.0,
hifazat,54.0,
high hopes,74.0,$ 1192322
high season,53.0,$ 1125000
high spirits,58.0,$ 8578231
high tide,70.0,$ 138288
hit list,56.0,$ 4564
hollywood chainsaw hookers,53.0,
hollywood cop,42.0,
hollywood's new blood,26.0,
homeboy,59.0,
honneponnetje,46.0,
hot to trot,45.0,$ 6436211
hotaru no haka,85.0,$ 516962
the house of usher,44.0,
the house on carroll street,61.0,$ 459824
hua zhong xian,60.0,
huang jia shi jie zhi iii: ci xiong da dao,64.0,
i love n.y.,41.0,
í skugga hrafnsins,64.0,
i'm gonna git you sucka,66.0,$ 13030057
iacob,72.0,
iced,43.0,
iguana,60.0,
illegally yours,43.0,$ 259019
the in crowd,64.0,$ 136567
in dangerous company,36.0,
in a shallow grave,59.0,
ingen kan älska som vi,42.0,
the invisible kid,50.0,
iron eagle ii,38.0,$ 10497324
it takes two,56.0,$ 344375
it's impossible to learn to plow by reading books,59.0,
itinéraire d'un enfant gâté,71.0,
jack's back,59.0,
jakarta,47.0,
jericó,69.0,
gai tung ngap gong,72.0,
the jigsaw murders,50.0,
ging chaat goo si juk jaap,71.0,
jing zhuong zhui nu zi zhi er,56.0,
johanna d'arc of mongolia,65.0,
johnny be good,46.0,$ 17550399
judgement day,54.0,
judgment in berlin,58.0,$ 229556
die jungfrauenmaschine,55.0,
just ask for diamond,61.0,$ 12751
jydekompagniet,55.0,
kadaicha,45.0,
kamarád do deste,63.0,
kansas,55.0,$ 2432536
ha-kayitz shel aviya,71.0,
keys to freedom,52.0,
khatron ke khiladi,48.0,
kholodnoe leto pyatdesyat tretego,79.0,
killer klowns from outer space,62.0,
a killing affair,57.0,$ 35000
killing blue,42.0,
kimagure orenji rôdo: ano hi ni kaeritai,74.0,
qi wang,71.0,
kingsajz,74.0,
the kiss,55.0,$ 1869148
klatwa doliny wezy,53.0,
"kopytem sem, kopytem tam",70.0,
kornblumenblau,70.0,
krótki film o milosci,82.0,
krótki film o zabijaniu,81.0,
kukolka,72.0,
kurutta butokai,63.0,
kuutamosonaatti,63.0,
kárhozat,78.0,
pembalasan ratu pantai selatan,56.0,
lady in white,67.0,$ 1705139
the lair of the white worm,59.0,$ 1189315
the land before time,74.0,$ 48092846
lo foo chut gang,70.0,
last rites,51.0,$ 426965
the last temptation of christ,75.0,$ 8373585
la lectrice,72.0,$ 699397
ginga eiyû densetsu: waga seifuku wa hoshi no taikai,77.0,
la leggenda del santo bevitore,72.0,
license to drive,64.0,$ 22433275
gandahar,71.0,$ 370698
linie 1,67.0,
little dorrit,73.0,$ 1025228
little nikita,60.0,$ 1733070
liu jin sui yue,64.0,
lone wolf,44.0,
lung joi tin aai,60.0,
lung ji ga juk,61.0,
looking for langston,66.0,
lucky stiff,46.0,
lurkers,42.0,
el lute ii: mañana seré libre,61.0,
mac and me,34.0,$ 6424112
macho dancer,62.0,
madame sousatzka,67.0,$ 3548238
made in u.s.a.,54.0,
la maison assassinée,68.0,
malenkaya vera,70.0,$ 1262598
man spricht deutsh,67.0,
mangeclous,50.0,
maniac cop,60.0,$ 671382
mapantsula,69.0,
married to the mob,62.0,$ 21486757
marusa no onna 2,68.0,$ 333584
la maschera,60.0,
masquerade,60.0,$ 15855828
le maître de musique,71.0,$ 1086894
meet the hollowheads,54.0,
memorial valley massacre,37.0,
memories of me,57.0,$ 3965604
meng gui fo tiao qiang,45.0,
mang gwai hok tong,54.0,
menya zovut arlekino,65.0,
messenger of death,56.0,$ 3074681
midnight crossing,46.0,$ 1328001
midnight movie massacre,29.0,
midnight run,75.0,$ 38413606
mielött befejezi röptét a denevér,68.0,
mignon è partita,66.0,
the milagro beanfield war,68.0,$ 13825794
milagro en roma,70.0,
miles from home,57.0,$ 188964
mirai ninja: keiun kinin gaiden,64.0,
missing link,61.0,$ 6127
mississippi burning,78.0,$ 34603943
the moderns,66.0,$ 2011497
mon ami le traître,50.0,
monkey shines,62.0,$ 5344577
moon over parador,60.0,$ 11444204
moonwalker,61.0,
morometii,89.0,
mortuary academy,49.0,
moving,62.0,$ 10815378
mr. north,59.0,$ 1221366
"mujeres al borde de un ataque de ""nervios""",76.0,$ 7251740
murder one,56.0,
maxie,34.0,
my best friend is a vampire,61.0,$ 174380
my stepmother is an alien,54.0,$ 13854000
mystic pizza,63.0,$ 12793213
the naked gun: from the files of police squad!,76.0,$ 78756177
the navigator: a mediaeval odyssey,67.0,$ 1333379
ne réveillez pas un flic qui dort,56.0,
nebojsa,64.0,
neco z alenky,75.0,
necromancer,40.0,
ya bon les blancs,61.0,
the nest,53.0,
never say die,55.0,
never on tuesday,45.0,
a new life,58.0,$ 7721852
il nido del ragno,65.0,
niezwykla podróz baltazara kobera,67.0,
the night before,63.0,
night wars,44.0,
a night in the life of jimmy reardon,56.0,$ 6264058
nightfall,27.0,
nightmare beach,54.0,
a nightmare on elm street 4: the dream master,57.0,$ 49369899
ninja vengeance,22.0,
not of this earth,48.0,
la nuit bengali,60.0,
nuoruuteni savotat,70.0,
nuovo cinema paradiso,85.0,$ 12397210
l'oeuvre au noir,67.0,
off limits,62.0,$ 7242035
oliver & company,67.0,$ 74151346
arashi ga oka,69.0,
otto - der neue film,58.0,
l'ours,77.0,$ 31753898
out of rosenheim,74.0,$ 3587303
out of the dark,54.0,
the outside chance of maximilian glick,69.0,$ 317670
oznamuje se láskám vasim,68.0,
ps sista sommaren,44.0,
paganini horror,42.0,
palais royale,54.0,
pan tau - der film,66.0,
parandeyeh koochake khoshbakhti,65.0,
paris by night,62.0,
party line,51.0,$ 154887
pascali's island,68.0,$ 1451857
pasión de hombre,55.0,
pass the ammo,62.0,$ 169785
pathos - segreta inquietudine,52.0,
patti rocks,61.0,$ 345000
patty hearst,63.0,$ 1223326
paura e amore,68.0,
the penitent,59.0,
pered rassvetom,70.0,
perfect victims,45.0,
permanent record,64.0,$ 1893139
pestonjee,73.0,
phantasm ii,65.0,$ 7282851
der philosoph,62.0,
pi li da la ba,62.0,
i picari,64.0,
picasso trigger,45.0,
il piccolo diavolo,70.0,
pin,66.0,
piravi,77.0,
plain clothes,64.0,$ 289323
platoon leader,54.0,$ 1348771
pledge night,48.0,
pohjanmaa,72.0,
little sweetheart,60.0,
police academy 5: assignment: miami beach,47.0,$ 19510371
polizei,66.0,
poltergeist iii,47.0,$ 14114488
les portes tournantes,65.0,
pound puppies and the legend of big paw,49.0,$ 586938
the presidio,60.0,$ 20324096
prime evil,39.0,
the prince of pennsylvania,58.0,$ 5415
prison,58.0,$ 345704
promised land,57.0,$ 316199
provocazione,47.0,
psycho cop,47.0,
pulse,55.0,$ 40397
pumpkinhead,62.0,$ 4385516
punchline,59.0,$ 21042667
purgatory,38.0,
purple people eater,48.0,
qayamat se qayamat tak,75.0,
qi xiao fu,70.0,
qualcuno in ascolto,65.0,
quella villa in fondo al parco,44.0,
quelques jours avec moi,70.0,
i ragazzi di via panisperna,71.0,
il ragazzo dal kimono d'oro 2,40.0,
the raggedy rawney,63.0,
minaccia d'amore,46.0,
rain man,80.0,$ 172825435
ram-avtar,45.0,
rambo iii,58.0,$ 53715611
rampage,62.0,$ 796368
red heat,61.0,$ 34994648
rejuvenatrix,54.0,
renegade,63.0,
rent-a-cop,46.0,$ 295000
rented lips,38.0,
the rescue,56.0,$ 5855392
retribution,59.0,
return from the river kwai,49.0,
return of the killer tomatoes!,52.0,$ 5000000
return of the living dead: part ii,59.0,$ 9205924
the man from snowy river ii,66.0,$ 13687027
rikky and pete,60.0,$ 206138
rituelen,56.0,
robowar - robot da guerra,44.0,
rocket gibraltar,66.0,$ 187349
romance da empregada,64.0,
running on empty,77.0,$ 2835116
sos,62.0,
les saisons du plaisir,51.0,
salaam bombay!,80.0,$ 2080046
salome's last dance,65.0,$ 331469
salsa,50.0,$ 8892589
sans peur et sans reproche,53.0,
satisfaction,50.0,$ 8253123
saturday the 14th strikes back,32.0,
scarecrows,54.0,
school daze,60.0,$ 14545844
crime and punishment,58.0,
screwball hotel,39.0,
scrooged,70.0,$ 60328558
the serpent and the rainbow,65.0,$ 19595031
seven hours to judgment,48.0,$ 177820
the seventh sign,59.0,$ 18875011
un señor muy viejo con unas alas enormes,53.0,
shadows in the storm,38.0,
shakedown,60.0,$ 10068039
shayad vaghti deegar,72.0,
she's having a baby,59.0,$ 16031707
shoot to kill,68.0,$ 29300090
short circuit 2,58.0,$ 21630088
silent assassins,50.0,
sinatra,62.0,
the sisterhood,36.0,
skyggen af emma,66.0,
slaughterhouse rock,42.0,
sleepaway camp ii: unhappy campers,57.0,
slipping into darkness,43.0,
sluga,71.0,
snack bar budapest,42.0,
a soldier's tale,61.0,
sorb,64.0,
sorority babes in the slimeball bowl-o-rama,50.0,
sotto il vestito niente ii,51.0,
south of reno,65.0,
space mutiny,21.0,$ 397887
spalding gray: terrors of pleasure,64.0,
spellbinder,58.0,$ 657446
spellcaster,46.0,
spike of bensonhurst,61.0,$ 623112
splendor,71.0,
split decisions,52.0,$ 695822
spoorloos,77.0,
stars and bars,48.0,
stealing heaven,66.0,
stealing home,67.0,$ 7467504
sticky fingers,50.0,$ 208633
stormy monday,62.0,$ 1791328
strike of the panther,44.0,
strul,58.0,
a summer story,72.0,$ 462813
summertime blues: lemon popsicle viii,48.0,
sunset,57.0,$ 4594452
super xuxa contra o baixo astral,34.0,
suéltate el pelo,44.0,
sweet hearts dance,57.0,$ 3790493
sweet lies,42.0,
switching channels,60.0,$ 9129999
la table tournante,67.0,
taffin,56.0,$ 159969
tales from the gimli hospital,66.0,
talk radio,73.0,$ 3468572
tango bar,61.0,
tapeheads,57.0,$ 343786
dak ging to lung,67.0,
teen vamp,33.0,
teito monogatari,62.0,
the telephone,45.0,$ 99978
tequila sunrise,61.0,$ 41292551
the terror within,49.0,$ 858591
testimony,72.0,
tetsuo,70.0,
tezaab,70.0,
they live,73.0,$ 13008928
things change,70.0,$ 3527886
tin law dei mong,60.0,
tiger warsaw,49.0,$ 422667
time out,44.0,
a time of destiny,51.0,$ 1212487
to kill a priest,61.0,
tokyo pop,67.0,$ 125345
tommy tricker and the stamp traveller,69.0,
tonari no totoro,82.0,$ 2250213
top line,48.0,
topio stin omihli,80.0,
torch song trilogy,77.0,$ 4865997
tougher than leather,48.0,$ 3582760
track 29,59.0,$ 429028
traxx,54.0,
trois places pour le 26,62.0,
troma's war,56.0,
tucker: the man and his dream,69.0,$ 19652638
tupla-uuno,53.0,
twice dead,54.0,
twins,61.0,$ 111938388
twister,52.0,$ 33455
two moon junction,51.0,$ 1547397
ubit drakona,80.0,
the unbearable lightness of being,73.0,$ 10006806
the understudy: graveyard shift ii,37.0,
une affaire de femmes,75.0,$ 438483
the unholy,50.0,$ 6337299
l'union sacrée,58.0,
unmasked part 25,58.0,
the unnamable,49.0,
up your alley,50.0,
urusei yatsura 5: kanketsuhen,70.0,
vampire at midnight,43.0,
vargens tid,43.0,
ved vejen,56.0,
die venusfalle,57.0,
vibes,57.0,$ 1883811
vice academy,44.0,
vice versa,59.0,$ 13664060
la vie est un long fleuve tranquille,69.0,$ 194456
vijay,56.0,
the virgin queen of st. francis high,35.0,
la visione del sabba,55.0,
il volpone,67.0,
voyage of the rock aliens,50.0,
vroom,57.0,
walker,66.0,
wallers letzter gang,64.0,
mong ming yuen yeung,71.0,
war requiem,66.0,
warlords,42.0,
warm nights on a slow moving train,57.0,$ 400000
watchers,54.0,$ 940173
waxwork,62.0,$ 808114
we think the world of you,59.0,$ 20998
white ghost,45.0,
who framed roger rabbit,77.0,$ 156452370
wildfire,48.0,
willow,73.0,$ 57269863
la casa 4 (witchcraft),43.0,
without a clue,70.0,$ 8539181
the wizard of loneliness,61.0,$ 144566
the wolves of willoughby chase,60.0,
wong gok ka moon,70.0,$ 9436
working girl,68.0,$ 63779477
a world apart,69.0,$ 2326860
world gone wild,51.0,$ 323947
the wrong guys,52.0,$ 1152786
wu gong zhou,52.0,
hok hau fung wan,73.0,
yasemin,68.0,
yateem,63.0,
huang he da xia,69.0,
you can't hurry love,48.0,$ 9333152
young einstein,52.0,$ 11536599
young guns,69.0,$ 45661556
il giovane toscanini,62.0,
zabytaya melodiya dlya fleyty,74.0,$ 85360
zard-e ghanari,55.0,
zelly and me,61.0,
zhena kerosinshchika,70.0,
chung gwok jui hau yat goh tai gam,66.0,
zhong hua ying xiong,58.0,
zivot sa stricem,72.0,
zombi 3,49.0,
jui gaai suen yau,60.0,
jui gaai chak paak dong,68.0,
zärtliche chaoten ii,44.0,
à corps perdu,67.0,
à gauche en sortant de l'ascenseur,67.0,
århus by night,63.0,
etoile,59.0,
l'étudiante,57.0,
the 'burbs,69.0,$ 36601993
100 jahre adolf hitler - die letzte stunde im führerbunker,58.0,
1939,56.0,
300 mil do nieba,72.0,
36.15 code père noël,64.0,
los 4 músicos de bremen,66.0,
84c mopic,69.0,$ 154264
"aab, baad, khaak",65.0,
the abyss,76.0,$ 54461047
torrents of spring,59.0,$ 111747
action u.s.a.,55.0,
the adventures of baron munchausen,72.0,$ 8083123
after midnight,56.0,$ 76325
aje aje bara aje,69.0,
alien seed,27.0,
alien degli abissi,40.0,
alienator,32.0,
all dogs go to heaven,68.0,$ 27100027
all's fair,42.0,
always,64.0,$ 43858790
american boyfriends,52.0,
american ninja 3: blood hunt,36.0,$ 902152
american risciò,49.0,
an le zhan chang,65.0,
and the violins stopped playing,68.0,
animal behavior,43.0,$ 41526
another chance,46.0,
apoorva sagodharargal,83.0,
après la guerre,69.0,
aquí huele a muerto... (¡pues yo no he sido!),40.0,
arousi-ye khouban,65.0,
astenicheskiy sindrom,68.0,
australia,63.0,
avariya - doch menta,66.0,
l'avaro,61.0,
de avonden,67.0,
az én xx. századom,71.0,$ 682016
the bfg,67.0,
babar: the movie,63.0,$ 1305187
going overboard,18.0,
baby blood,59.0,
back to the future part ii,78.0,$ 119000002
catchfire,54.0,
bad blood,47.0,
les baisers de secours,70.0,
il bambino e il poliziotto,56.0,
ban wo chuang tian ya,66.0,
the banker,48.0,
"bashu, gharibeye koochak",81.0,
batman,75.0,$ 251348343
batwara,63.0,
beiqíng chéngshì,79.0,
"bert rigby, you're a fool",60.0,$ 75868
best of the best,65.0,$ 1700000
beverly hills bodysnatchers,32.0,
beverly hills brats,37.0,$ 192561
beyond dream's door,53.0,
beyond the door iii,50.0,
beyond the stars,52.0,
bhrashtachar,47.0,
big man on campus,62.0,
the big picture,62.0,$ 117463
bill & ted's excellent adventure,70.0,$ 40485039
il gatto nero,45.0,
black rain,67.0,$ 46212055
tennessee nights,57.0,
blades,48.0,
la blanca paloma,54.0,
blaze,60.0,$ 19131246
blind fear,46.0,
blind fury,64.0,$ 2692037
blood nasty,42.0,
blood red,36.0,$ 15510
bloodfist,48.0,$ 1770082
bloodhounds of broadway,56.0,$ 43671
bloodmoon,46.0,
blue angel cafe,49.0,
blueberry hill,66.0,
bodo - eine ganz normale familie,63.0,
boerenpsalm,66.0,
boj na kosovu,76.0,
boris godounov,71.0,
born on the fourth of july,72.0,$ 70001698
breaking in,60.0,$ 1877618
brenda starr,48.0,$ 67878
bu tuo wa de ren,68.0,
bunker palace hôtel,65.0,
burndown,42.0,
buy & cell,52.0,
bye bye blues,71.0,$ 161323
bye bye chaperon rouge,55.0,
c.h.u.d. ii: bud the chud,41.0,
cage,51.0,$ 618178
caged fury,40.0,
the caller,62.0,
cameron's closet,49.0,
the carpenter,49.0,
cas sluhu,68.0,
casualties of war,71.0,$ 18671317
cat chaser,52.0,
catch me if you can,61.0,$ 3686
cemetery high,27.0,
cha cha cha,62.0,
the chair,39.0,
chances are,65.0,$ 16278590
chandni,68.0,
"chastnyy detektiv, ili operatsiya 'kooperatsiya'",53.0,
koneko monogatari,70.0,$ 13299749
che ora è?,72.0,
checking out,47.0,$ 30877
cheetah,61.0,$ 8153677
the chilling,38.0,
"chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi",71.0,
city hunter: ai to shukumei no magnum,71.0,
cleo/leo,54.0,
cohen and tate,64.0,$ 64227
cold comfort,61.0,
cold feet,47.0,$ 289975
cold front,41.0,
collision course,46.0,
coming out,69.0,
comment faire l'amour avec un nègre sans se fatiguer,44.0,$ 491193
communion,56.0,$ 1919653
conte de printemps,73.0,
"the cook, the thief, his wife & her lover",76.0,$ 7724701
cookie,54.0,$ 1869417
las cosas del querer,68.0,
courage mountain,57.0,$ 1393610
cousins,63.0,$ 22026369
crack house,57.0,$ 862551
crimes and misdemeanors,79.0,$ 18254702
criminal act,35.0,
criminal law,57.0,$ 9974446
cruising bar,68.0,$ 3400000
curfew,40.0,
cutting class,44.0,
cyborg,51.0,$ 10166459
dad,63.0,$ 22103037
dai hao mei zhou bao,43.0,
damned river,50.0,
dans le ventre du dragon,63.0,
dansen med regitze,70.0,
diamond skulls,49.0,$ 336811
dead calm,68.0,$ 7825009
dead poets society,81.0,$ 95860116
dead bang,62.0,$ 8125592
deadly weapon,39.0,
dealers,55.0,
deathstalker and the warriors from hell,28.0,
deceit,48.0,
sangue negli abissi,31.0,
deepstar six,54.0,$ 8143225
the delinquents,56.0,
demonstone,48.0,
devil in the flesh,48.0,
dharmaga tongjoguro kan kkadalgun,75.0,
dias melhores virão,66.0,
dip huet seung hung,78.0,
dirty love,47.0,
disorganized crime,64.0,$ 7723506
do pervoy krovi,74.0,
do the right thing,79.0,$ 27545445
dom za vesanje,83.0,$ 280015
domino,37.0,
dr. caligari,63.0,
dracula's widow,41.0,
the dream team,65.0,$ 28890240
dream a little dream,59.0,$ 5552441
driving miss daisy,73.0,$ 106593296
drugstore cowboy,73.0,$ 4729352
a dry white season,70.0,$ 3766879
dou san,73.0,
dve strely. detektiv kamennogo veka,59.0,
dykket,64.0,
le déclic,43.0,
dezha vyu,76.0,
earth girls are easy,54.0,$ 3916303
easy wheels,43.0,
eat a bowl of tea,62.0,$ 231423
eddie and the cruisers ii: eddie lives!,63.0,$ 536508
edge of sanity,53.0,$ 102219
eeshwar,73.0,
ehad mishelanu,68.0,
ek din achanak,70.0,
"enemies, a love story",66.0,$ 7754571
l'enfant de l'hiver,61.0,
les enfants du désordre,62.0,
erik the viking,63.0,$ 1932642
"es ist nicht leicht, ein gott zu sein",64.0,
et la lumière fut,73.0,
eternity,27.0,
eversmile new jersey,55.0,
evil altar,36.0,
the evil below,34.0,
il bosco 1,36.0,
the experts,49.0,$ 169203
the fabulous baker boys,68.0,$ 18428904
family business,58.0,$ 12195695
fanshî dansu,69.0,
far from home,55.0,$ 11859
farewell to the king,63.0,$ 2420917
fast food,47.0,$ 472340
fat man and little boy,65.0,$ 3563162
father,70.0,
the favorite,46.0,
fung yue tung lo,62.0,
the feud,58.0,$ 3102
field of dreams,75.0,$ 64431625
la fille de 15 ans,66.0,
flesh-eating mothers,42.0,
flesh gordon meets the cosmic cheerleaders,36.0,
fletch lives,61.0,$ 35150960
the fly ii,51.0,$ 20021322
food of the gods ii,39.0,
for queen & country,56.0,$ 191051
force majeure,63.0,
fortress of amerikkka,35.0,
francesco,64.0,
friday the 13th part viii: jason takes manhattan,46.0,$ 14343976
fright night part 2,59.0,$ 2983784
fu gui bing tuan,60.0,
fu gui zai san po ren,59.0,
future hunters,46.0,
la fête des pères,46.0,
"galimatias, czyli kogel-mogel ii",64.0,
ganashatru,74.0,
ganheddo,55.0,
kadhalan,72.0,
georg elser - einer aus deutschland,63.0,
george's island,53.0,
getting it right,64.0,$ 960385
ghetto blaster,40.0,
ghost writer,51.0,
ghostbusters ii,66.0,$ 112494738
the girl in a swing,54.0,$ 747013
gitanjali,82.0,
gleaming the cube,63.0,$ 2777280
glembajevi,77.0,
glory,78.0,$ 26979166
the gods must be crazy ii,69.0,$ 6291444
gojira vs. biorante,66.0,
grandmother's house,53.0,
grave secrets,43.0,
great balls of fire!,63.0,$ 13741060
gross anatomy,62.0,$ 11604598
guru,56.0,
hajen som visste för mycket,61.0,
halloween 5: the revenge of michael myers,52.0,$ 11642254
happy together,60.0,$ 70912
hardcase and fist,36.0,
harlem nights,61.0,$ 60864870
hawks,69.0,
heart of dixie,52.0,$ 1097333
heathers,72.0,$ 1108462
hellgate,35.0,
henry v,75.0,$ 10161099
her alibi,58.0,$ 18699037
hider in the house,59.0,
high stakes,44.0,$ 4780
"hiver 54, l'abbé pierre",61.0,
homer and eddie,53.0,
"honey, i shrunk the kids",64.0,$ 130724172
gwang tin lung fu wui,42.0,
the horror show,50.0,$ 1738897
hot times at montclair high,37.0,
how to get ahead in advertising,69.0,$ 418053
howling v: the rebirth,45.0,
wong ga si je iv: jik gik jing yan,71.0,
en håndfull tid,63.0,
i bought a vampire motorcycle,56.0,
i want to go home,56.0,
"i, madman",60.0,$ 151203
ilaaka,47.0,
immediate family,61.0,$ 5932613
in country,58.0,$ 3531971
in the cold of the night,39.0,
in una notte di chiaro di luna,63.0,
indiana jones and the last crusade,82.0,$ 197171806
an innocent man,65.0,$ 20047604
insiders,45.0,
orapronobis,68.0,
interdevochka,71.0,
iris,65.0,
the iron triangle,58.0,
is-slottet,65.0,
jacknife,63.0,$ 2049769
jaadugar,41.0,
jan rap en z'n maat,59.0,
the january man,56.0,$ 4611062
je suis le seigneur du château,68.0,
gap tung gei hap,66.0,
gat seng gung ziu,63.0,
jing hun ji,66.0,
the jitters,45.0,
johnny handsome,62.0,$ 7237794
journey to the center of the earth,25.0,
judgement,47.0,
jésus de montréal,75.0,$ 1601612
jönssonligan på mallorca,59.0,
k-9,60.0,$ 43247647
hoi sum gwai gau hoi sum gwai,58.0,
kala bazaar,55.0,
kanoon apna apna,57.0,
the karate kid part iii,52.0,$ 38956288
kashtee-ye angelica,62.0,
de kassière,57.0,
katala,63.0,
keaton's cop,47.0,
kickboxer,65.0,$ 14697005
kill me again,63.0,$ 283694
the kill reflex,40.0,
the kill-off,61.0,
killing dad or how to love your mother,47.0,
king of the wind,66.0,
kinjite: forbidden subjects,56.0,$ 3416846
kogel-mogel,68.0,
konec starych casu,71.0,
kotia päin,61.0,
kronvittnet,50.0,
kuduz,79.0,
kuroi ame,79.0,
kvinnorna på taket,61.0,
l.a. bounty,44.0,
l.a. heat,41.0,
ladri di saponette,70.0,$ 1231622
lady avenger,44.0,
la storia di lady chatterley,46.0,
landstrykere,67.0,
last exit to brooklyn,68.0,$ 1730005
coastwatcher,51.0,
lauderdale,39.0,
the laughing dead,38.0,
laurin,64.0,
border shootout,38.0,
lawa. opowiesc o 'dziadach' adama mickiewicza,68.0,
lean on me,74.0,$ 31906454
legion of iron,42.0,
a legényanya,75.0,
leningrad cowboys go america,71.0,
let it ride,68.0,$ 4973285
lethal weapon 2,72.0,$ 147253986
lethal woman,39.0,
leviathan,58.0,$ 15704614
licence to kill,66.0,$ 34667015
lie mo qun ying,59.0,
limit up,50.0,
listen to me,53.0,$ 4299023
the little mermaid,76.0,$ 111543479
little monsters,61.0,$ 793775
lo que le pasó a santiago,70.0,
lobster man from mars,54.0,
the local stigmatic,59.0,
lock up,64.0,$ 22099847
lola,64.0,
long hang tian xia,58.0,
look who's talking,59.0,$ 140088813
loos,62.0,
lords of the deep,26.0,
lost angels,62.0,$ 1247946
love love love,57.0,
lu bing hua,80.0,
mack the knife,58.0,
the magic toyshop,70.0,
magnús,68.0,
main azaad hoon,72.0,
majo no takkyûbin,78.0,$ 1004057
major league,72.0,$ 49797148
malarek,60.0,
manifesto,62.0,$ 70060
el mar y el tiempo,70.0,
"les maris, les femmes, les amants",62.0,
marquis,68.0,
masque of the red death,40.0,
massacre,42.0,
mat,70.0,
mathilukal,82.0,
meet the feebles,67.0,
melancholia,56.0,
mery per sempre,74.0,
mes meilleurs copains,68.0,
mes nuits sont plus belles que vos jours,62.0,
metamorphosis,39.0,
meteo,67.0,
midnight,32.0,
the mighty quinn,60.0,$ 4557214
mijn vader woont in rio,65.0,
millennium,58.0,$ 5777099
milou en mai,72.0,$ 1576702
mind games,57.0,$ 85085
mindfield,46.0,
ministry of vengeance,43.0,
minnamurra,59.0,
miracle mile,70.0,$ 1145404
miraklet i valby,59.0,
wilt,62.0,$ 113014
miss firecracker,60.0,$ 1852655
mob war,28.0,
monsieur hire,76.0,$ 1417030
monster high,33.0,
montoyas y tarantos,57.0,
moon 44,51.0,
moontrap,50.0,
mortacci,70.0,
hap ga foon,65.0,
non aver paura della zia marta,52.0,
my left foot: the story of christy brown,79.0,$ 14743391
my mom's a werewolf,45.0,
mystery train,76.0,$ 1541218
leák,57.0,
la nación clandestina,73.0,
national lampoon's christmas vacation,76.0,$ 72705146
new year's day,60.0,$ 36106
new york stories,64.0,$ 10763469
next of kin,59.0,$ 15942628
night game,49.0,$ 337812
night life,57.0,
night shadow,37.0,
a nightmare on elm street: the dream child,52.0,$ 22168359
nightwish,49.0,
el niño de la luna,63.0,
no holds barred,44.0,$ 16093651
"no retreat, no surrender 2: raging thunder",51.0,$ 108154
nobody's perfect,57.0,
la noche oscura,59.0,
nocturne indien,68.0,
nowhere to run,49.0,
obywatel piszczyk,68.0,
offerings,46.0,
kei zik,70.0,
old gringo,58.0,$ 3574256
one man force,50.0,
ono,69.0,
ostatni dzwonek,71.0,
otto - der außerfriesische,58.0,
out cold,56.0,$ 294266
"out of sight, out of mind",25.0,
out of the body,43.0,
out on bail,52.0,
outlaw of gor,23.0,
the package,64.0,$ 10647219
paganini,53.0,
paint it black,49.0,
palombella rossa,72.0,
pan jin lian zhi qian shi jin sheng,62.0,$ 123254
pan kleks w kosmosie,59.0,
paperhouse,67.0,$ 241278
paperitähti,58.0,
paprika,56.0,
parenthood,70.0,$ 100047830
parents,62.0,$ 870532
paura nel buio,48.0,
penn & teller get killed,58.0,
perdues dans new york,58.0,
pet sematary,66.0,$ 57469467
peter och petra,50.0,
la petite voleuse,70.0,$ 1055416
phantom of the mall: eric's revenge,48.0,
the phantom of the opera,55.0,$ 3953745
physical evidence,52.0,$ 3560932
pilkarski poker,71.0,
pink cadillac,54.0,$ 12143484
police academy 6: city under siege,45.0,$ 11567217
powwow highway,72.0,$ 283747
prancer,64.0,$ 18587135
prazská petka,66.0,
love dream,47.0,
princess warrior,28.0,
pont de varsòvia,67.0,
the punisher,57.0,
qin yong,68.0,
qu mo jing cha,69.0,
queen of hearts,67.0,$ 1236844
qun long xi feng,75.0,
r.o.t.o.r.,27.0,
les mémés cannibales,49.0,
race for glory,62.0,$ 100326
the rachel papers,61.0,$ 201468
radio corbeau,58.0,
the rainbow,62.0,$ 444055
ram lakhan,68.0,
recordações da casa amarela,75.0,
red scorpion,52.0,$ 4192440
relentless,59.0,$ 6985999
"religion, inc.",41.0,
ren zai niu yue,69.0,
renegades,54.0,$ 9015164
resan till melonia,75.0,
resurrected,61.0,
the return of swamp thing,47.0,$ 192816
the return of the musketeers,60.0,
reunion,67.0,
the revenger,48.0,
rikyu,72.0,
river of death,44.0,$ 535031
road house,66.0,$ 30050028
roadkill,66.0,
robbykallepaul,62.0,
cyber-c.h.i.c.,23.0,
rojo amanecer,80.0,
roller blade warriors: taken by force,38.0,
romero,71.0,$ 1316495
romuald et juliette,68.0,$ 495063
la ronde de l'amour,43.0,
rooftops,48.0,$ 2043889
rosalie goes shopping,60.0,$ 574080
